| S.No | Skip List Time | Set Time | Closeness (%) |
| 497  | 0.002219       | 0.002125 | 95.785385     |
| 498  | 0.002523       | 0.001964 | 77.840115     |
| 499  | 0.002028       | 0.002310 | 87.799815     |
| 500  | 0.002794       | 0.002102 | 75.234485     |
| 501  | 0.002174       | 0.002134 | 98.144498     |
| 502  | 0.002229       | 0.002255 | 98.848884     |
| 503  | 0.002865       | 0.001883 | 65.707767     |
| 504  | 0.002575       | 0.001890 | 73.384549     |
| 505  | 0.002331       | 0.001960 | 84.083681     |
| 506  | 0.002085       | 0.001968 | 94.387435     |
| 507  | 0.002347       | 0.002386 | 98.386722     |
| 508  | 0.002245       | 0.002195 | 97.780281     |
| 509  | 0.002254       | 0.002153 | 95.480497     |
| 510  | 0.002057       | 0.002029 | 98.650554     |
